"Link","Abstract","Author Keywords","Index Keywords"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135110141&doi=10.1111%2fijmr.12310&partnerID=40&md5=a95958745435b7b290217ce74a3a18ca","Social enterprises, located between non-profit organisations and for-profit firms, often struggle to acquire external funding. An increasing amount of research on the external financing of social enterprises stems from a fragmented body of the literature anchored in a variety of subject areas (e.g. entrepreneurship, public sector management, general management and strategy). We systematically review 204 academic articles published between 1998 and 2021 to bridge the knowledge gaps in these subject areas by: (1) mapping the field of the external financing of social enterprises at the individual, organisational and institutional levels; (2) synthesising the findings to develop an overarching framework; and (3) discussing theoretically sound future research avenues. We find that research at the individual level focuses primarily on investors’ perspective of the ideal characteristics of a social entrepreneur. Research at the organisational level often addresses the dual logics of social enterprises and their impact on the successful financing of these businesses and the role of investor–investee collaboration. Research at the institutional level can be clustered into cultural, economic, political and legal factors. Overall, we stress the need for research that adopts an overarching view by considering all three levels of analysis simultaneously and using organisational and economic theories. © 2022 The Authors. International Journal of Management Reviews published by British Academy of Management and John Wiley & Sons Ltd.","",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163200169&doi=10.1016%2fj.tre.2023.103147&partnerID=40&md5=c2f3e37a31b6b0f449c743f9d1cbf18a","Promoting and achieving sustainable development goals (SDGs) and net zero will be a high priority among companies and institutions. Several strategies are being developed to motivate and integrate SDGs and net zero-related approaches in companies, among which the circular economy (CE) is gaining momentum due to its documented impact on the elements of the SDGs and net zero. In fact, recent studies began to examine the relationship between CE, SDGs and net zero through different perspectives and with different areas of application. Although this relationship is primarily for the implementation of the SDGs and net zero targets, very few studies demonstrate concerns about CE-SDG-net zero relationships, specifically with smart CE. Although the traditional CE influences the SDGs and net zero positively, the traditional approach remains insufficient in several areas, including the lack of real-life information, where most CE practices and principles reside. To address this gap, a smart CE has been established by researchers to unleash the potential of achieving SDGs and net zero. To explore the smart CE and to tackle the existing literature gap, this study focuses on identifying the influence of smart CE with a focus on achieving SDGs and net zero with a single textile case study. The study is divided with four phases, as follows. The first phase attempts to select the best and most feasible CE practices that have a major impact on SDGs and net zero. The second phase understands the smart integrated success factors for adopting selected CE practices. The third phase evaluates and analyzes the overall common success factors for selected CE practices, and finally, the fourth phase validates the available results from the previous phases through feedback from various reliable sources. A case study methodology has been used in this study to understand the core of the research, while it should be noted this study is groundbreaking work in the field of research. Two different multi-criteria decision-making tools (MCDMs) have been used, namely the Best Worst Method (BWM) and the grey DEMATEL for selecting the best and most feasible CE practices and for evaluating the commonly collected success factors. Two theories (CSF theory and TOE theory) have been used to strengthen the study's theoretical background and contribution. To assist practitioners, the available results are discussed in a way that understands the relationship between the chosen CE practices and their considered influential success factors with SDGs and net zero through digitalization. © 2023 The Author(s)","BWM; CE practices; CSF theory; Grey DEMATEL; Net zero; SDGs; Textile; TOE theory","Decision making; BAD methods; Best bad method; Circular economy; Circular economy practice; CSF theory; DEMATEL; Gray DEMATEL; Net zero; Sustainable development goal; TOE theory; Textiles"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145594842&doi=10.1016%2fj.jclepro.2022.135216&partnerID=40&md5=5198da65b81c6576a1aba478772728c4","Nowadays Social Entrepreneurship (or SE) and Circular Economy (or CE) are recognized as reference points for the definition of sustainable business models. However, management literature seems to privilege one of these paradigms at a time, neglecting their possible integration for business model innovation. This paper seeks to contribute to such literature gap by investigating the interplay between SE and CE and presenting a qualitative case study in the clothing recycle sector. By combining Gioia methodology and system dynamics, the study develops a research framework based on an interpretive, participative, and iterative approach. The emerging ‘dynamic grounded model’ synthesizes the mutual reinforce of circular commercial business and social mission's features for the transition from non-profit organizations to social enterprises. © 2022 Elsevier Ltd","Circular economy; Education; Gioia methodology; Recycle; Social entrepreneurship; System dynamics","Iterative methods; System theory; Business model innovation; Business models; Circular economy; Gioium methodology; Qualitative case studies; Recycle; Reference points; Social entrepreneurship; Sustainable business; System Dynamics; Recycling"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144443277&doi=10.1016%2fj.respol.2022.104713&partnerID=40&md5=95511e1d670554b18d0072c42cd76dfc","This study examines how the identity orientation of founders, i.e., the extent to which they define themselves in terms of their relationships to others and to social groups, is imprinted by their professional logic and influences their ambitions for venture growth. We draw on existing insights regarding the Darwinian, Communitarian, and Missionary orientation of entrepreneurs and on interviews with 29 founders to develop our hypotheses, which we then test in a sample of 58 academic and 113 non-academic founders that participated in a venture competition. We argue that, compared to non-academic institutional logics, academic logics are tied to a stronger Communitarian and Missionary orientation and a weaker Darwinian orientation in founders. A stronger Darwinian orientation values venture growth, whereas a stronger Communitarian orientation appraises the benefit of the technology for a restricted set of people at the expense of such growth ambitions. A stronger Missionary orientation values welfare maximization for society which may to some degree entail higher growth aspirations. We argue and empirically confirm that these identity orientations explain why academic founders hold lower growth aspirations for their start-up than non-academic founders. Our findings can at least partially clarify why academic start-ups do not grow according to expectancies. They theoretically advance our insights in academic entrepreneurship and founders' growth aspirations while also extending the literature on founders' identity orientation. © 2022","Academic entrepreneurship; Commercialization; Economic development and growth; Emotion; Intention; Motivation; Technology transfer","Economic and social effects; Academic entrepreneurship; Commercialisation; Economic development; Economic growths; Emotion; Identity orientation; Institutional logic; Intention; Social groups; Welfare maximizations; Technology transfer"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092917899&doi=10.1177%2f2340944420966331&partnerID=40&md5=03b4e61cc4560add2c74d8c066bce08d","This article investigates the influence of specific key organizational factors (i.e., enabling formalization, coercive formalization, and trust) as antecedents of ambidexterity. Moreover, we propose a new way of operationalizing ambidexterity, under a holistic vision, including the synergies between exploration and exploitation. The study has been developed in the Spanish organic agro-food industry; a total of 239 usable responses were received from two respondents from each company—the general manager and the quality manager. The findings show that enabling formalization and organizational trust are positively related to ambidexterity, but contrary to our predictions, we found no evidence to show that coercive formalization is related to ambidexterity. In turn, we found different results for trust as a moderating factor on the types of formalization and ambidexterity. © The Author(s) 2020.","Ambidexterity; formalization; organic agro-food industry; organizational trust",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137024281&doi=10.3390%2fsu14159793&partnerID=40&md5=4f7a0826797daaf4948cdb3f26fdc4c4","The research and innovation activities at higher education institutions (HEIs) are considered essential in driving forward sustainability in order to facilitate future decision-making. However, a systematic approach regarding sustainability research through administrative efforts is still lacking in HEIs worldwide. Therefore, this manuscript aimed to explore contradictions embedded in the activity systems that hamper the internalization of sustainability research in HEIs. The current study conducted semi-structured interviews with faculty members at a leading research university in Taiwan. The lens of activity theory was used to explore and analyze tensions rooted in the activity systems involved in research and innovation. We found that resources to undertake sustainability-related research have not been allocated in a desirable manner. Moreover, the stakeholders are lacking agency, motivation, and perceived urgency to play their roles in supporting sustainability-related research through their practices. The propositions concluded from this study would help the involved actors to reconfigure their activity systems to make a contribution toward sustainability. This study also serves as a fundamental step towards conducting future empirical studies in contextual theory building directed at co-creating value through sustainability-related research and innovation practices. © 2022 by the authors.","activity theory; service-dominant logic; sustainability; value co-creation","Taiwan; higher education; institutional framework; questionnaire survey; stakeholder; sustainability; university sector"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85162885359&partnerID=40&md5=c6e95c740ada4b3293c93c28bd7c1140","[No abstract available]","",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149941221&doi=10.3390%2fsu15054350&partnerID=40&md5=549c4f1488c6a078f229c89430f51e43","Employees’ pro-environmental behaviors contribute to environmental sustainability. Drawing on social exchange theory, this research extends corporate social responsibility (CSR) literature by investigating the positive effect of perceived CSR on employees’ pro-environmental behaviors and exploring the mediating mechanisms of environmental consciousness and environmental commitment between perceived CSR and employees’ pro-environmental behaviors. Survey data were collected from 301 employees working in the textile manufacturing industry of Pakistan. The findings of this study demonstrate a positive direct impact of perceived CSR on pro-environmental behaviors. Moreover, environmental consciousness and environmental commitment mediated this relationship. Taken together, this study indicates that perceived CSR has three paths to impact employee pro-environmental behavior: direct effect, indirect effect via environmental consciousness, and indirect effect via environmental commitment. The contributions of this study include supporting social exchange theory and presenting pioneering evidence of environmental consciousness and environmental commitment mediating processes between perceived CSR and pro-environmental behaviors. This paper provides directions for future research and suggests practical implications for organizations. © 2023 by the authors.","corporate social responsibility; environmental commitment; environmental consciousness; pro-environmental behaviors; textile manufacturing industry","Pakistan; corporate social responsibility; manufacturing; perception; spatiotemporal analysis"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164369263&doi=10.1108%2fSRJ-01-2023-0012&partnerID=40&md5=f43ed04fdc6f45c1833dce9d5b4562a2","Purpose: This study aims to posit that managerial value would be one of the responsible factors for the difference in corporate social responsibility practice among businesses. It then empirically tested the effect of managerial value, with the moderation of organizational culture, on corporate social responsibility practice. Design/methodology/approach: The authors have devised a “moderated micro-macro model” type of multilevel model, wherein managerial value took the micro (individual level) predictor variable role, stakeholder-based corporate social responsibility practice the macro (organizational level) outcome variable role and organizational culture the macro level moderating variable role. Because they need the attention of inquiry, large manufacturing firms in the Amhara region of Ethiopia, with a sample size of 53, constituted the organizational level units. The recent performance of the firms against corporate social responsibility practice and organizational culture have been judged by 473 randomly chosen employees. Managerial value has been rated by randomly picked managers, numbered 253. Analytically, Croon and van Veldhoven’s multilevel analytical package and Mplus software suited the designed model. Findings: The study has revealed that managerial value, indeed, is a potential positive driver of CSR practice, the two managerial value dimensions demonstrated differential effects on corporate social responsibility practice and only one of the organizational culture dimensions, hierarchical culture, played a moderation role in managerial value – corporate social responsibility practice link. Originality/value: The model and this empirical test have not been previously verified. © 2023, Emerald Publishing Limited.","Business and society; Business ethics; Business in society; Corporate citizenship; Croon and van Veldhoven approach; CSR; Cultural theory; Ethiopia; Large manufacturing firms; Micro-macro model; Social responsibility; Stakeholder theory",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130370847&doi=10.1080%2f1331677X.2022.2076145&partnerID=40&md5=a8950a79f0d89515c05058581dd6ff88","Achieving sustainable development goals (SDGs) is a global requirement that attracts new researchers and regulators. So, the current research investigates the impact of investment on the environment, social, and governance (ESG) activities on the achievement of SDGs of the Chinese manufacturing companies. The current article also examines the mediating impact of organizational effectiveness among the nexus of investment in ESG activities and the achievement of SDGs of the Chinese manufacturing companies. The current research has taken the questionnaires to gather the data and used the smart-PLS to analyze the data. The results exposed that investment in the environment and social activities have a positive impact on the achievement of SDGs. The findings also revealed that the organizational effectiveness significantly mediates among the nexus of investment in the environment and social activities and the achievement of SDGs of the Chinese manufacturing companies. This study provides help to the relevant authorities to achieve the SDGs using the investment in ESG activities. © 2022 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.","Chinese manufacturing companies; environment; organizational effectiveness; social and governance; Sustainable development goals","China; governance approach; industrial development; industrial performance; manufacturing; organizational framework; regulatory approach; sustainability; Sustainable Development Goal"
